epoch,step,train_loss_epoch,train_loss_step
0,43,57.26081848144531,
1,49,,26.67255210876465
1,87,29.63756561279297,
2,99,,29.057048797607422
2,131,25.541667938232422,
3,149,,21.01011848449707
3,175,20.064363479614258,
4,199,,20.692232131958008
4,219,21.00717544555664,
5,249,,19.236610412597656
5,263,21.58827018737793,
6,299,,25.569509506225586
6,307,22.5546817779541,
7,349,,13.444669723510742
7,351,17.024354934692383,
8,395,19.46619987487793,
9,399,,30.890911102294922
9,439,19.72711944580078,
10,449,,22.860952377319336
10,483,17.907365798950195,
11,499,,25.663761138916016
11,527,20.094240188598633,
12,549,,15.415432929992676
12,571,18.43949317932129,
13,599,,16.982030868530273
13,615,16.94243049621582,
14,649,,12.27210807800293
14,659,14.82848834991455,
15,699,,18.869741439819336
15,703,14.543292045593262,
16,747,15.632622718811035,
17,749,,15.2039155960083
17,791,16.18255043029785,
18,799,,15.855130195617676
18,835,16.137672424316406,
19,849,,14.809457778930664
19,879,14.264852523803711,
